	age	appMode	appPhase	appType	first_name	gender	id	interactionAt	interactionType	last_name	occupation	participantId	party	policy_strength_ban_abortion_after_6_weeks	political_experience	processed_at	relativeInteractionAt	religion
7	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	1584474682636	mouseout	0.0	0.0	ZY1tfYLxtiya	0.0	0.0	0.0	1584474682642	121.54900002479553	0.0
8	0.0	live	phase_1	CONTROL	0.0	0.0	0.0	1584474685937	mouseout	0.0	0.0	ZY1tfYLxtiya	0.0	0.0	0.0	1584474685944	124.85000014305115	0.0
9	0.9999992732455272	live	phase_1	CONTROL	1.0	0.9999999999538348	1.0	1584474687352	mouseout	1.0	0.947527750968041	ZY1tfYLxtiya	0.9698741766958815	0.8437029630116749	0.921421016494408	1584474687358	126.26500010490417	0.9999910916192599
10	0.9999998007930693	live	phase_1	CONTROL	1.0	0.9999999999949479	1.0	1584474689068	mouseout	1.0	0.9980365557278985	ZY1tfYLxtiya	0.9265732232532228	0.6968938023830765	0.9407585911278182	1584474689076	127.98100018501282	0.9999989213805159
11	0.9999999443789466	live	phase_1	CONTROL	1.0	0.999999999999445	1.0	1584474691134	add_to_list_via_scatterplot_click	1.0	0.9973969336690651	ZY1tfYLxtiya	0.957417202484989	0.7672755031614831	0.9551579016787307	1584474691140	130.04700016975403	0.9999999999918128
12	0.9999999841898536	live	phase_1	CONTROL	1.0	0.9999999999999388	1.0	1584474692285	mouseout	1.0	0.9970307220226694	ZY1tfYLxtiya	0.9755344495966493	0.8334231930759228	0.9659248980820745	1584474692293	131.1980001926422	1.0
13	0.9999999954273919	live	phase_1	CONTROL	1.0	0.9999999999999932	1.0	1584474709711	mouseout	1.0	0.9999367305112159	ZY1tfYLxtiya	0.9454014986358388	0.7009169459386635	0.9740085287569541	1584474709721	148.62400007247925	1.0
14	0.9999999986550282	live	phase_1	CONTROL	1.0	0.9999999999999992	1.0	1584474713979	mouseout	1.0	0.9998372931873271	ZY1tfYLxtiya	0.9674488213110534	0.846519857873298	0.981951192009803	1584474713988	152.89200019836426	1.0
15	0.9999999995978487	live	phase_1	CONTROL	1.0	0.9999999999999999	1.0	1584474734674	mouseout	1.0	0.999998251270678	ZY1tfYLxtiya	0.9341924689160159	0.7430105170541768	0.990969765638881	1584474734680	173.58700013160706	1.0
16	0.9999999971416582	live	phase_1	CONTROL	1.0	1.0	1.0	1584474736419	mouseout	1.0	0.9999904115740896	ZY1tfYLxtiya	0.8816418597509301	0.9115974291776212	0.9882122335027299	1584474736427	175.33200001716614	1.0
17	0.9999999839687395	live	phase_1	CONTROL	1.0	1.0	1.0	1584474738419	mouseout	1.0	0.9999637992829968	ZY1tfYLxtiya	0.8067029562977823	0.9155338738861332	0.990880440919019	1584474738427	177.33200001716614	1.0
18	0.9999999262565041	live	phase_1	CONTROL	1.0	1.0	1.0	1584474741719	mouseout	1.0	0.9998997286037616	ZY1tfYLxtiya	0.8703774204490402	0.9248286827520789	0.9929211806978067	1584474741726	180.632000207901	1.0
19	0.9999999771153587	live	phase_1	CONTROL	1.0	1.0	1.0	1584474745353	mouseout	1.0	0.999998910413929	ZY1tfYLxtiya	0.7964590939310776	0.8701444684465227	0.9944873611612582	1584474745359	184.26600003242493	1.0
20	0.9999999088646001	live	phase_1	CONTROL	1.0	1.0	1.0	1584474748144	mouseout	1.0	0.9999972040068283	ZY1tfYLxtiya	0.7017311360403029	0.9580810621828069	0.995693359222962	1584474748151	187.05700016021729	1.0
21	0.9999996840658206	live	phase_1	CONTROL	1.0	1.0	1.0	1584474749928	mouseout	1.0	0.9999891113325041	ZY1tfYLxtiya	0.5878534494324614	0.9293342303962042	0.9966250430238975	1584474749937	188.84100008010864	0.9999999999999999
22	0.9999998961612924	live	phase_1	CONTROL	1.0	1.0	1.0	1584474752294	mouseout	1.0	0.9999793558598757	ZY1tfYLxtiya	0.6964142186844009	0.9819742143980176	0.9981074670630166	1584474752304	191.20700001716614	0.9999999999999987
23	0.9999996718331602	live	phase_1	CONTROL	1.0	1.0	1.0	1584474754510	mouseout	1.0	0.9999513013654183	ZY1tfYLxtiya	0.7809355933889952	0.9804982411955221	0.9979084631099422	1584474754518	193.42300009727478	0.9999999999999898
24	0.9999990641610219	live	phase_1	CONTROL	1.0	1.0	1.0	1584474755994	mouseout	1.0	0.9999054005188108	ZY1tfYLxtiya	0.8448609114509817	0.9802079010112119	0.9987005137998325	1584474756008	194.90700006484985	0.999999999999936
25	0.999997562158713	live	phase_1	CONTROL	1.0	1.0	1.0	1584474756492	mouseout	1.0	0.9998571235046629	ZY1tfYLxtiya	0.7751010508292397	0.9953097410137137	0.9991905481291575	1584474756498	195.40500020980835	0.9999999999996559
26	0.9999953453653645	live	phase_1	CONTROL	1.0	1.0	1.0	1584474797579	add_to_list_via_scatterplot_click	1.0	0.9999971561293259	ZY1tfYLxtiya	0.8385265633532297	0.9950685735858816	0.9989571784085294	1584474797587	236.49200010299683	0.9999999999983786
27	0.9999980497324732	live	phase_1	CONTROL	1.0	1.0	1.0	1584474799449	mouseout	1.0	0.9999999679482725	ZY1tfYLxtiya	0.8859730022191713	0.9950926478944424	0.9991684686935289	1584474799460	238.3619999885559	0.9999999999932124
28	0.999994951050355	live	phase_1	CONTROL	1.0	1.0	1.0	1584474800885	mouseout	1.0	0.999999925687474	ZY1tfYLxtiya	0.9206952756464222	0.9953517086907694	0.9974745223589785	1584474800894	239.79800009727478	0.9999999999744477
29	0.9999978038115128	live	phase_1	CONTROL	1.0	1.0	1.0	1584474804882	add_to_list_via_scatterplot_click	1.0	0.9999998535445679	ZY1tfYLxtiya	0.8806000796105529	0.9988640761251213	0.9979892796407857	1584474804889	243.79500007629395	0.999999999998772
30	0.9999990541551682	live	phase_1	CONTROL	1.0	1.0	1.0	1584474807758	mouseout	1.0	0.9999997505568795	ZY1tfYLxtiya	0.8282997187046033	0.9997746813325885	0.9983949343217694	1584474807764	246.6710000038147	0.9999999999999613
31	0.9999976009661476	live	phase_1	CONTROL	1.0	1.0	1.0	1584474810509	mouseout	1.0	0.9999996275267221	ZY1tfYLxtiya	0.7630421175151806	0.9995126532283599	0.9987154560387085	1584474810516	249.42200016975403	0.9999999999999661
32	0.9999989428621674	live	phase_1	CONTROL	1.0	1.0	1.0	1584474812574	mouseout	1.0	0.9999993421747824	ZY1tfYLxtiya	0.6848335365004046	0.9994775378836293	0.9989693710079375	1584474812582	251.4869999885559	0.9999999999998603
33	0.9999974427717297	live	phase_1	CONTROL	1.0	1.0	1.0	1584474814925	mouseout	1.0	0.9999979711577378	ZY1tfYLxtiya	0.5944798864158797	0.9989473481678129	0.9991710366427276	1584474814937	253.8380000591278	0.9999999999994724
