participant_id	interaction_type	app_type
3Sp3rSvqFsh6	41	41
64J6C4DDhBTL	2	2
6oheLF74hlXc	71	71
8cPi4CoiSpNN	8	8
CnOeEROhOZaX	82	82
ICIog47oVtN8	154	154
Ms0iLF9ONsEk	97	97
PQYxIfFvPDoT	6	6
XqYJiar2m2Vh	61	61
YazCemZZbIdK	113	113
ZY1tfYLxtiya	139	139
gPCb7Uy0pEM0	24	24
hoMzF8Cf1Y5j	14	14
lPpxNz1aVtYh	2	2
pgz1HXaRPEea	2	2
qFIltQnZAor7	156	156
r9cpBWj7l0iV	2	2
t4bcBwMLxPc6	2	2
xrOuOynQhVbO	128	128
