	completed	timestamp
utils		
consent	True	17/03/2020, 16:29:49
overview	True	17/03/2020, 16:30:30
pre-survey	True	17/03/2020, 16:32:49
demo	True	17/03/2020, 16:35:50
practice	True	17/03/2020, 16:40:22
task	True	17/03/2020, 16:41:51
live	True	17/03/2020, 17:01:29
post-survey	True	17/03/2020, 17:07:33
thanks	True	17/03/2020, 17:07:33
participantId	YazCemZZbIdK	YazCemZZbIdK
appMode	live	live
appType	MITIGATION	MITIGATION
appPhase	phase_2	phase_2
