	age	appMode	appPhase	appType	first_name	gender	id	interactionAt	interactionType	last_name	occupation	participantId	party	policy_strength_ban_abortion_after_6_weeks	political_experience	processed_at	relativeInteractionAt	religion
0	0.0	live	phase_1	MITIGATION	0.0	0.0	0.0	1584477834216	add_to_list_via_scatterplot_click	0.0	0.0	YazCemZZbIdK	0.0	0.0	0.0	1584477834226	90.47699999809265	0.0
1	0.0	live	phase_1	MITIGATION	0.0	0.0	0.0	1584477835082	mouseout	0.0	0.0	YazCemZZbIdK	0.0	0.0	0.0	1584477835090	91.34299993515015	0.0
2	0.0	live	phase_1	MITIGATION	0.0	0.0	0.0	1584477854930	mouseout	0.0	0.0	YazCemZZbIdK	0.0	0.0	0.0	1584477854937	111.19099998474121	0.0
3	0.0	live	phase_1	MITIGATION	0.0	0.0	0.0	1584477862345	mouseout	0.0	0.0	YazCemZZbIdK	0.0	0.0	0.0	1584477862350	118.60599994659424	0.0
4	0.0	live	phase_1	MITIGATION	0.0	0.0	0.0	1584477886221	mouseout	0.0	0.0	YazCemZZbIdK	0.0	0.0	0.0	1584477886227	142.481999874115	0.0
5	0.0	live	phase_1	MITIGATION	0.0	0.0	0.0	1584477893379	mouseout	0.0	0.0	YazCemZZbIdK	0.0	0.0	0.0	1584477893387	149.6399998664856	0.0
6	0.0	live	phase_1	MITIGATION	0.0	0.0	0.0	1584477980566	mouseout	0.0	0.0	YazCemZZbIdK	0.0	0.0	0.0	1584477980571	236.82699990272522	0.0
7	0.0	live	phase_1	MITIGATION	0.0	0.0	0.0	1584477988369	mouseout	0.0	0.0	YazCemZZbIdK	0.0	0.0	0.0	1584477988376	244.62999987602234	0.0
8	0.0	live	phase_1	MITIGATION	0.0	0.0	0.0	1584477994265	mouseout	0.0	0.0	YazCemZZbIdK	0.0	0.0	0.0	1584477994270	250.52600002288818	0.0
9	0.9794797762888326	live	phase_1	MITIGATION	0.9443906388934599	0.6379498077996416	0.9958428354875933	1584477997116	mouseout	0.9929450065505839	0.9999981148464367	YazCemZZbIdK	0.9949385272348987	0.8492808448032927	0.9752560502176482	1584477997123	253.3769998550415	0.06908807492018998
10	0.9517367808514895	live	phase_1	MITIGATION	0.9398677627372022	0.8655271288000387	0.990142642073299	1584477999099	mouseout	0.9851314606577228	0.9999863877653694	YazCemZZbIdK	0.9973039578841145	0.9119508052071276	0.992291935086315	1584477999106	255.35999989509583	0.0837719569440959
11	0.9043692856949549	live	phase_1	MITIGATION	0.9345994369764646	0.8044383416004002	0.9803960499521408	1584478003982	mouseout	0.9729779365495379	0.9999535923012975	YazCemZZbIdK	0.9908699196372923	0.8444187619087281	0.9976618548752136	1584478003990	260.2430000305176	0.09951346546677231
12	0.8336710102508944	live	phase_1	MITIGATION	0.8435736176556533	0.7331254794021285	0.9657481809164977	1584478017618	mouseout	0.955976823394258	0.9998206486908241	YazCemZZbIdK	0.9755344495966493	0.7672953437794612	0.9945273823382448	1584478017625	273.8789999485016	0.11619773365444508
13	0.8339630438826896	live	phase_1	MITIGATION	0.8395882621004522	0.6535580123277531	0.9959106425161969	1584478024576	mouseout	0.9947997143268819	0.999491490269142	YazCemZZbIdK	0.9454014986358388	0.6946627480613433	0.9888110136594462	1584478024583	280.8369998931885	0.1337117188617778
14	0.8898646041752291	live	phase_1	MITIGATION	0.9142918714841546	0.567870778340724	0.9999856302621387	1584478030383	add_to_list_via_scatterplot_click	0.999982358629314	0.9988701758197388	YazCemZZbIdK	0.8946335456877145	0.6392087408374394	0.9794482933930959	1584478030389	286.6439998149872	0.15194555375335095
15	0.9272407922392611	live	phase_1	MITIGATION	0.9788497220958498	0.47816060966638485	0.9999999995452319	1584478031597	mouseout	0.9999999994959864	0.9979336206791902	YazCemZZbIdK	0.8190993958257382	0.6084703219306385	0.9653723022738527	1584478031606	287.85799980163574	0.17079352945159165
16	0.9520339610353158	live	phase_1	MITIGATION	0.954545823278458	0.38635558840945894	0.9999999955800585	1584478036616	add_to_list_via_scatterplot_click	0.9999999953457973	0.9964770439942559	YazCemZZbIdK	0.8816418597509301	0.6777044315014501	0.9456269092305328	1584478036622	292.8769998550415	0.19015479292960946
17	0.9684018525407236	live	phase_1	MITIGATION	0.9679880159701466	0.2941427128166303	0.9999999992597133	1584478039096	mouseout	0.999999999272015	0.9951861959986912	YazCemZZbIdK	0.9239264593856873	0.7497499897345563	0.9487923172442787	1584478039106	295.356999874115	0.20993382099813662
18	0.9806886117366148	live	phase_1	MITIGATION	0.9957400231681667	0.20293811980967358	0.9999999999999992	1584478040631	mouseout	0.9999999999999993	0.9925534795605626	YazCemZZbIdK	0.8703774204490402	0.712358143070376	0.9624777178193714	1584478040641	296.8919999599457	0.23004071896786127
19	0.988216547905461	live	phase_1	MITIGATION	0.9990246976419199	0.11388591440044782	1.0	1584478041365	mouseout	1.0	0.9914242378659129	YazCemZZbIdK	0.9146225237628576	0.774648325898665	0.9724451482280679	1584478041372	297.62599992752075	0.2503913815678639
20	0.9928129397968208	live	phase_1	MITIGATION	0.9999407914579097	0.02787467026833501	1.0	1584478043920	remove_from_list_via_list_item_click	1.0	0.9914697691759499	YazCemZZbIdK	0.9446439607327238	0.8312787870651547	0.9797159115418221	1584478043930	300.18099999427795	0.2709075458108151
21	0.9939906413140985	live	phase_1	MITIGATION	0.9998869228644509	0.36731571571736754	1.0	1584478072436	mouseout	1.0	0.9877738923519975	YazCemZZbIdK	0.9646033411471184	0.878531093667209	0.9850296831745744	1584478072442	328.6970000267029	0.45079015175998016
